topic,level_1,qids,qstr,num_words,questions,result,filtered_result,correct_result,overlap,error_type
Magnetism,14,G-META-21-20,NUM,42,"Given: (Lattice paramter of iron at room temperature = 0.287 nm). If saturation magnetization of iron at room temperature is 1700 $kAm^(-1)$, then magnetic moment (in $Am^(2)$) per iron atom in the crystal is x * $10^(-23)$(round off to 1 decimal place)."," [x = 4.65]
Explanation: The magnetic moment of a single domain in a ferromagnetic material can be calculated using the formula: M = (2 * mu_m * N / V) where, M is the magnetization, mu_m is the magnetic moment per unit volume and N is the number of magnetic moments per unit volume. Given that the number of magnetic moments per unit volume is equal to the number of atoms per unit volume, which can be calculated using the lattice parameter (assuming a simple cubic lattice), we have: N = (1 / a^3) where a is the lattice constant. Substituting the given values, we get: M = (2 * mu_m * N / V) => mu_m = (M * V / 2 * N) => mu_m = (M * (1 / a^3)) => mu_m = (1700 * 10^(-3) * (1 / (0.287 * 10^-9)^3)) => mu_m = 4.65 * 10^-23 $Am^2$ => x = mu_m / (1.6 * 10^-24) => x = 4.65 (rounded off to one decimal place). Therefore, the magnetic moment per iron atom in the crystal is approximately 4.65 * 10^-23 $Am^2$.",,,0,
Material characterization,0,G-XEC-2012-8,MCQS,25,Microstrain can be measured by X-ray diffraction using peak  (A) Area and intensity (B) Position and area (C) Broadening and intensity (D) Position and broadening ," [C] Broadening and intensity
Explanation: Microstrain, also known as microstress or lattice strain, is a measure of the local deformation or displacement of atoms from their ideal positions in a crystal lattice. X-ray diffraction is a powerful technique used to determine the crystal structure of materials by analyzing the diffracted X-rays from a crystal. The peak position in an X-ray diffraction pattern corresponds to the interplanar spacing of the crystal planes, while the peak broadening can be related to microstrain. Therefore, the correct answer is [C] Broadening and intensity.",,,0,
Material characterization,1,G-XEC-2012-11,MATCH,71,"Match the characterization techniques in Column I with the options in Column II:  Column I : [P.Scanning tunneling microscopy, Q. Scanning electron microscopy, R. Transmission electron microscopy, S. Atomic force microscopy]  Column II : [1. No vacuum required, 2. Backscattered electrons, 3. Photoelectrons, 4. Atomically sharp tip, 5. Sub-Angstrom resolution]    Options: (A) P-4, Q-2, R-5, S-1 (B) P-1, Q-3, R-4, S-5 (C) P-2, Q-4, R-1, S-5 (D) P-5, Q-1, R-2, S-4"," [C] P-2, Q-4, R-1, S-5
Explanation: 
- P. Scanning tunneling microscopy (STM): Uses a sharp tip to scan a surface and detect the electrons that tunnel through the gap between the tip and the sample. It operates in an ultrahigh vacuum environment and provides atomic resolution. So, it belongs to option R with the description ""Sub-Angstrom resolution"" and S with ""Vacuum required"". However, since STM does not use electrons for imaging like SEM or TEM, it doesn't fit any of the options in Column II related to electrons. Therefore, the correct answer is not among the given options.
- Q. Scanning electron microscopy (SEM): Uses a focused beam of electrons to scan the surface and detect backscattered electrons. It operates in a vacuum environment but does not provide atomic resolution. So, it belongs to option R with ""Sub-Angstrom resolution"" rejected and Q with ""Backscattered electrons"".
- R. Transmission electron microscopy (TEM): Uses a thin sample and transmits electrons through it to form an image based on the electron density. It operates in a vacuum environment and provides atomic resolution. So, it belongs to option R with ""Sub-Angstrom resolution"" and S with ""Vacuum required"" accepted.
- S. Atomic force microscopy (AFM): Uses a sharp tip that scans the surface and detects the forces between the tip and the sample. It does not require a vacuum environment and can provide atomic resolution. So, it belongs to option P with ""No vacuum required"" and S with ""Atomically sharp tip"".
Therefore, the correct answer is C. P-2 (SEM), Q-4 (TEM), R-1 (STM), S-5 (AFM). However, since STM was incorrectly listed in Column I, the given options do not include the correct answer.",,,0,
Material characterization,2,G-XEC-2013-12,MATCH,89,"Match the microscopes listed in Column I with their principle of operation listed in Column II:  Coloumn I: [P. Scanning Electron Microscope (SEM), Q. Transmission Electron Microscope(TEM), R. Scanning Tunnelling Microscope (STM), S. Atomic Force Microscope (AFM)]  Coloumn II: [1. van der Waals forces between atoms, 2. electrons to jump across a potential barrier, 3. diffraction of electrons, 4. detection of secondary electrons, 5. photo emission of electrons]    Options: (A) P-2, Q-5, R-3, S-1 (B) P-3, Q-4, R-5, S-2 (C) P-4, Q-3, R-2, S-1 (D) P-4, Q-3, R-5, S-2"," (B) P-3, Q-4, R-5, S-1
Explanation: 
- Scanning Electron Microscope (SEM): Principle of operation is based on the interaction between an electron beam and the sample surface. The electrons are emitted from a source and scanned over the surface of the sample. Secondary electrons produced by the interaction are detected to form an image. So, it matches with option 5 in Column II which is ""detection of secondary electrons"".
- Transmission Electron Microscope (TEM): Principle of operation is based on the transmission of electrons through a thin sample. The electrons are passed through a thin film of the sample and the diffraction pattern produced by the interaction between the electrons and the atoms in the sample is observed to form an image. So, it matches with option 3 in Column II which is ""diffraction of electrons"".
- Scanning Tunnelling Microscope (STM): Principle of operation is based on the quantum mechanical phenomenon of tunneling. An atomically sharp tip is brought very close to the surface of the sample and a small voltage is applied between them. Electrons tunnel through the potential barrier and current flows, which can be detected to form an image. So, it matches with option 2 in Column II which is ""electrons to jump across a potential barrier"".
- Atomic Force Microscope (AFM): Principle of operation is based on the interaction between the tip of the microscope and the surface of the sample using forces such as van der Waals forces. The tip is scanned over the surface and the deflection of the cantilever caused by the interaction is measured to form an image. So, it matches with option 1 in Column II which is ""van der Waals forces between atoms"".",,,0,
Material characterization,3,G-XEC-2014-4,MCQS,29,Quantitative measurement of the roughness of a polysilicon wafer can be performed with  (A) scanning tunneling microscopy (B) scanning electron microscopy (C) transmission electron microscopy (D) atomic force microscopy, [D] Atomic force microscopy,,,0,
Material characterization,4,G-XEC-2015-53-10,MATCH,68,"Match the techniques listed in Column I with the characteristics of the materials measured in Column II.  Coloumn I : [P. DSC, Q. XRD, R. STM, S. SEM]  Coloumn II: [1. Density of states, 2. Glass transition temperature, 3. Cathodoluminescence, 4. Crystal structure, 5. Thermal expansion coefficient]    Options: (A) P-2, Q-3, R-4, S-1 (B) P-5, Q-4, R-5, S-1 (C) P-2, Q-4, R-1, S-3 (D) P-3, Q-5, R-4, S-2"," [C] P-2, Q-4, R-1, S-3
Explanation: 
P. DSC (Differential Scanning Calorimetry): It is used to measure the heat capacity and thermal transitions of materials such as glass transition temperature (Tg), crystallization temperature, melting point etc. So, it matches with Q-4 which is Glass transition temperature.
Q. XRD (X-ray Diffraction): It is a technique used for determining the crystal structure of materials. So, it matches with R-4 which is Crystal structure.
R. STM (Scanning Tunneling Microscopy): It is a microscopic imaging technique that can be used to observe the surface topography and electronic properties of materials at the atomic level. Cathodoluminescence is not related to this technique, it is a phenomenon where certain materials emit light when excited with electrons. So, STM matches with S-3 which is Surface topography.
S. SEM (Scanning Electron Microscopy): It is used for imaging the surface morphology of materials and can also provide information about their composition through the use of energy dispersive X-ray analysis. Density of states, thermal expansion coefficient are not related to this technique. So, SEM matches with P-2 which is Density (not density of states).
Therefore, the correct answer is [C] P-2, Q-4, R-1, S-3.",,,0,
Material characterization,5,G-XEC-2016-1,MCQS,46,Energy Dispersive Spectroscopy (EDS) in a typical scanning electron microscope enables elemental identification by collecting and examining which of the following:  (A) Secondary electrons from the sample (B) Back scattered electrons from the sample (C) Characteristic X-rays from the sample (D) Diffraction pattern from the sample, [C] Characteristic X-rays from the sample.,,,0,
Material characterization,6,G-XEC-2017-5,MCQS,41,The contrast obtained in scanning electron microscope using back scattered electrons depends on  (A) Atomic number of the specimen material (B) Accelerating voltage of the microscope (C) Working distance in the microscope (D) Type of the electron emitter in the microscope," [A, B]
Explanation: The contrast obtained in a Scanning Electron Microscope (SEM) using backscattered electrons depends on two factors: the atomic number of the specimen material and the accelerating voltage of the microscope. Backscattered electrons are generated when the primary electron beam interacts with the specimen surface. The energy and number of backscattered electrons depend on the atomic number of the specimen atoms and the accelerating voltage of the microscope. Therefore, options A and B are correct answers. Working distance in the microscope refers to the distance between the final lens and the specimen surface, which does not affect the contrast obtained using backscattered electrons. The type of electron emitter in the microscope is responsible for generating the primary electron beam but does not directly influence the contrast obtained using backscattered electrons.",,,0,
Material characterization,7,G-XEC-2019-8,MCQS,23,Glass transition temperature of a polymer can be determined by  (A) Thermo-gravimetric analysis (B) Raman spectroscopy (C) NMR spectroscopy (D) Differential scanning calorimetry, [D] Differential scanning calorimetry,,,0,
Material characterization,8,G-XEC-2021-6,MCQS,48,"In scanning electron microscopy, the resolution of backscattered electron (BSE) image is poorer compared to that of secondary electron (SE) image, because  (A) energy of BSE is lower (B) sampling volume of BSE is larger (C) yield of BSE is lower (D) sampling volume of SE is larger"," [B] sampling volume of BSE is larger.
Explanation: In Scanning Electron Microscopy (SEM), both secondary electrons (SEs) and backscattered electrons (BSEs) are used to form images. The resolution of an image refers to the ability to distinguish between two closely spaced features. The SEs are emitted when an electron interacts with the sample surface, while BSEs are produced when primary electrons collide with inner shell electrons and are ejected from the atom as a result.
The larger sampling volume of BSEs is the reason for their poorer resolution compared to SEs. This is because BSEs originate from a deeper region within the sample, which results in a larger area being probed by each electron. In contrast, SEs are produced closer to the surface and have a smaller sampling volume, resulting in better resolution.
Therefore, the answer is [B] sampling volume of BSE is larger.",,,0,
Material characterization,9,G-XEC-2021-10,MATCH,78,"In the context of scanning electron microscopy, match the information in Column I with most appropriate information in Column II.  Column I: [(P) Secondary electrons, (Q) Backscattered electrons, (R) Characteristic X-rays, (S) Diffracted backscattered electrons]  Column II: [(1) Crystallographic orientation of grains, (2) Failure analysis of fractured surfaces, (3) Chemical composition analysis, (4) Distinguishing chemically distinct phases]    Options: (A) P-3; Q-2; R-1; S-4 (B) P-2; Q-4; R-3; S-1 (C) P-1; Q-3; R-2; S-4 (D) P-4; Q-2; R-1; S-3"," (B) P-2; Q-4; R-3; S-1
Explanation: Secondary electrons (P) are emitted from the surface of a specimen and provide information about its topography. Backscattered electrons (Q) are used for imaging and elemental analysis, as they originate from the inner parts of the specimen and carry information about its composition. Characteristic X-rays (R) are produced when an electron beam interacts with the atoms in a specimen, providing information about their chemical composition. Diffracted backscattered electrons (S) are used for crystallographic analysis by measuring the diffraction patterns of the backscattered electrons. Therefore, the correct answer is (B) P-2; Q-4; R-3; S-1.",,,0,
Material characterization,10,G-XEC-2022-5,MCQS,98,"A differential scanning calorimetry (DSC) experiment tracks the heat flow into or out of a system as a function of temperature. If the experiments given in the options below are performed at 1 atmospheric pressure, then in which case will the DSC thermogram exhibit a spike, either upward or downward?  (A) Heating 10 mg of pure Cu from 323 K to 673 K (B) Cooling pure water from 323 K to 278 K (C) Heating pure ice from 263 K to 284 K (D) Cooling a Pb-Sn alloy at the eutectic composition from 323 K to 273 K "," [D] Cooling a Pb-Sn alloy at the eutectic composition from 323 K to 273 K
Explanation: In DSC, a spike in the thermogram indicates an endothermic or exothermic process. Endothermic processes absorb heat, while exothermic processes release heat. In this case, option D is the only one that involves cooling a substance (Pb-Sn alloy) at its eutectic composition, which is a mixture of two phases in equilibrium. During this cooling process, the phases transform from a higher temperature phase to a lower temperature phase, releasing heat and resulting in an exothermic process. Therefore, the DSC thermogram for option D will exhibit a downward spike.
Options A, B, and C involve heating or cooling pure substances, which do not undergo phase transitions within the given temperature ranges. Therefore, their DSC thermograms would not exhibit any significant spikes.",,,0,
Material characterization,11,G-META-13-39,MATCH,81,"Match the suitability of non-destructive testing method in Group I for the detection of defects listed in Group II:  Group I: [(P) Magnetic particle inspection, (Q) X-ray radiography, (R) Dye penetrant test, (S) Ultrasonic testing]  Group II; [(1) Surface crack in martensitic stainless steels, (2) Surface crack in austenitic stainless steels, (3) Hairline crack in aluminium, (4) Inclusions in steels]    Options: (A) P-2, Q-4, R-3, S-1 (B) P-4, Q-2, R-1, S-3 (C) P-3, Q-1, R-2, S-4 (D) P-1, Q-4, R-2, S-3 "," (A) P-2, Q-4, R-3, S-1 
Explanation: Magnetic particle inspection (MPI) is best suited for detecting surface and near-surface defects such as cracks in ferromagnetic materials. Therefore, it is suitable for detecting surface cracks in martensitic stainless steels (Group II - 2). X-ray radiography (RT) is a destructive testing method that uses ionizing radiation to produce an image of the internal structure of the material. It is best suited for detecting defects such as inclusions and wall thickness variations, making it suitable for Group II - 4. Dye penetrant test (PT) is used to detect surface-breaking defects in non-magnetic materials. It is best suited for detecting hairline cracks in aluminium (Group II - 3). Ultrasonic testing (UT) uses high-frequency sound waves to inspect the internal structure of materials. It is best suited for detecting defects such as cracks, inclusions, and corrosion, making it suitable for Group II - 1. However, it may not be effective in detecting all types of surface cracks, especially those that are very small or shallow. Therefore, MPI is a better choice for detecting surface cracks.",,,0,
Material characterization,12,G-META-14-25,MCQS,32,Which one of the following signals from a specimen is used in a scanning electron microscope to get quantitative elemental analysis?  (A) Secondary electrons (B) Backscattered electrons (C) X-rays (D) Transmitted electrons, [C] X-rays,,,0,
Material characterization,13,G-META-19-30,MCQS,46,"In a typical scanning electron microscope (SEM) image, information about topography and atomic contrast are obtained from ?  (A) secondary electron and auger electron, respectively. (B) primary electron and secondary electron, respectively. (C) secondary electron and back-scatter electron, respectively. (D) back-scatter electron and auger electron, respectively."," [C] secondary electron and back-scatter electron, respectively.",,,0,
Fluid,0,G-META-12-7,MCQS-NUM,47,A fluid is flowing with a velocity of 0.5 m/s on a plate moving with a velocity of 0.01 m/s in the same direction. The velocity at the interface of the fluid and plate is  (A) 0.0 m/s (B) 0.01 m/s (C) 0.255 m/s (D) 0.50 m/s," [C] 0.255 m/s
Explanation: According to the relative velocity principle, the velocity of a fluid relative to an object submerged in it is equal to the sum of the velocity of the fluid and the velocity of the object. In this case, the velocity of the fluid relative to the plate is 0.5 m/s (given), and the velocity of the plate is 0.01 m/s (also given). Therefore, the velocity of the fluid at the interface with the plate is:
Velocity of fluid at interface = Velocity of fluid + Velocity of plate
= 0.5 m/s + 0.01 m/s
= 0.255 m/s
So, the answer is [C] 0.255 m/s.",,,0,
Fluid,1,G-META-12-49,MCQS-NUM,115,"A steel ball (density $ρ_(steel)$ = 7200 kg/$m^(3)$) is placed in an upward moving liquid Al (density $ρ_(Al)$ = 2360 kg/$m^(3)$, viscosity $μ_(Al)$ = 1*$10^(–3)$ Pa.s and Reynolds number = 5*$10^(5)$). The force (F) exerted on the steel ball is expressed as: F = f π $R^(2)$ ($ρ_(Al)$ $v^2$ /2) where, f is friction factor (=0.2), v is the velocity of liquid Al and R is the radius of steel ball. The terminal velocity of a fine spherical steel particle having diameter $d_p$, in µm range, if allowed to fall in a quiescent liquid Al bath, is  (A) 5.2*$10^6$ $d_(p)^2$ m/s (B) 2.6* $10^6$ $d_(p)^2$ m/s (C) 1.3*$10^6$ $d_(p)^2$ m/s (D) 6.6* $10^5$ $d_(p)^2$ m/s "," C. The terminal velocity of a fine spherical particle in a quiescent liquid is given by Stokes' law, which states that the force (F) acting on the particle is equal to the product of its volume (V), density difference between the particle and fluid ($Δρ$), and gravity (g), and the drag force (Fd) due to fluid resistance. The drag force is given by $F_d = 6πμRv$. Solving for terminal velocity, we get $v = \frac{2}{9} \frac{R^2(\Delta\rho g)}{\mu}$. Substituting the given values and solving for v, we get $v = 1.3*10^6 d_p^2 m/s$. Therefore, the answer is (C) 1.3*$10^6$ $d_(p)^2$ m/s.
Note: The given problem does not exactly fit the conditions for Stokes' law to apply as the Reynolds number is quite high. However, since the particle size is in the micrometer range and the liquid is relatively less viscous, we can assume that the drag force is predominantly due to viscosity and neglect other forces like buoyancy and inertia. This approximation is commonly used in such cases and leads to a good estimate of terminal velocity.",,,0,
Fluid,2,G-META-16-35,NUM,69,"Given data: Density of liquid metal = 7000 kg.$m^(-3)$, Nozzle diameter = 30 mm, Nozzle discharge coefficient = 0.80 .The height of a liquid metal column in a cylindrical vessel is 3.2 m. At time t=0, liquid metal is drained out from the vessel through a small nozzle located at the base of the vessel. Neglecting frictional losses, the initial mass flow rate (in $kg.s^(-1)$) through the nozzle is"," [The initial mass flow rate can be calculated using Bernoulli's equation for incompressible fluid flow. The energy equation for a steady, one-dimensional, incompressible flow through a nozzle is given by:

$ \frac{1}{2} \rho v^2 + \frac{p}{\rho} + z = constant $

where $\rho$ is the density of fluid, $v$ is the velocity of fluid, $p$ is the pressure and $z$ is the height above a reference level.

At the nozzle exit, the velocity of liquid metal is given by:

$ v_e = \sqrt{2\Delta P/\rho} $

where $\Delta P$ is the pressure difference across the nozzle.

The mass flow rate through the nozzle can be calculated as:

$ \dot{m} = \rho Av_e $

Substituting the given values, we get:

$ v_e = \sqrt{\frac{2\Delta P}{\rho}} = \sqrt{\frac{2(p_1-p_2)}{\rho}} $

where $p_1$ is the pressure at the nozzle entrance and $p_2$ is the atmospheric pressure. Since the nozzle discharge coefficient is given, we can find $\Delta P$ using:

$ \Delta P = \frac{\dot{m}^2}{A^2} (1-\eta)^2 $

where $\eta$ is the nozzle discharge coefficient.

Substituting the values of $\rho$, $A$, and $\eta$, we get:

$ \Delta P = \frac{(0.8)^2}{(30\times 10^{-3})^2} (1-0.8)^2 = 5.47\times 10^6 Pa $

Now, we can find the velocity of liquid metal at the nozzle exit:

$ v_e = \sqrt{\frac{2(5.47\times 10^6)}{7000}} = 38.9 m/s $

The mass flow rate through the nozzle is:

$ \dot{m} = \rho Av_e = (7000)(3.14\times 10^{-2})(38.9) = 658.3 kg/s $

Answer: [658.3] ]",,,0,
Fluid,3,G-META-16-36,MATCH,59,"Match entities listed in Column I with their correct dimensions given in Column II:   Column I: [[P] Drag coefficient, [Q] Mass transfer coefficient, [R] Viscosity, [S] Mass flux]  Column II: [[1] $ML^(-1)T^(-1)$, [2] $ML^(-2)T^(-1)$, [3] $M^(0)L^(0)T^(0)$, [4] $M^(0)LT^(-1)$]    Options: (A) P-3, Q-4, R-1, S-2 (B) P-3, Q-1, R-2, S-4 (C) P-1, Q-4, R-2, S-3 (D) P-4, Q-3, R-1, S-2 "," [B] P-1, Q-4, R-2, S-3",,,0,
Fluid,4,G-META-18-1,MCQS,83,"For a laminar flow of a liquid metal over a flat plate, the thicknesses of the velocity and thermal boundary layers are $𝛿_𝑣$ and $𝛿_𝑡$ respectively. Kinematic viscosity (viscosity/density) of liquid metal is significantly lower than its thermal diffusivity [thermal conductivity / (density × specific heat)]. Based on this information, pick the correct option. (Note: The temperature of the liquid metal is different from that of the plate).  (A) $𝛿_𝑣$ < $𝛿_𝑡$ (B) $𝛿_𝑣$ > $𝛿_𝑡$ (C) $𝛿_𝑣$ = $𝛿_𝑡$ (D) Information insufficient"," A. The velocity boundary layer forms closer to the plate due to viscous forces, while the thermal boundary layer forms further out due to thermal diffusion which is faster than viscous forces. Therefore, the thickness of the velocity boundary layer ($𝛿_𝑣$) is less than that of the thermal boundary layer ($𝛿_𝑡$).",,,0,
Fluid,5,G-META-18-3,MCQS,68,Analysis of a flow phenomenon in a system requires the following variables: i. Pressure [M$L^(-1)T^(-2)$] ii. Velocity of the fluid [$LT^(-1)$] iii. Size of the system [L] iv. Density of the fluid [M $L^(-3)$] v. Viscosity of the fluid [M$L^(-1)T^(-1)$]. According to Buckingham Pi theorem (dimensional analysis) what is the number of independent DIMENSIONLESS variables needed to describe this system?  (A) 2 (B) 3 (C) 4 (D) 5," [C, 4]
Explanation: According to Buckingham Pi theorem, the number of independent dimensionless variables required to describe a physical system is equal to the difference between the number of dimensions in the input variables and the number of dimensions in the output variable. In this case, we have 5 input variables (Pressure, Velocity, Size, Density, Viscosity) with dimensions M$L^(-1)T^(-2)$, $LT^(-1)$, L, M $L^(-3)$, and M$L^(-1)T^(-1)$ respectively. The output variable is not explicitly stated in the question but it can be assumed that it's a function of Pressure, Velocity, Size, Density, and Viscosity. Since these variables have dimensions M, L, T, we have 3 dimensions (mass, length, time) for the input variables and 1 dimension for the output variable. Therefore, according to Buckingham Pi theorem, the number of independent dimensionless variables required is 3 dimensions for the input variables - 1 dimension for the output variable = 2 dimensions. However, in this question, there are 5 input variables given, so the correct answer is (C) 4 independent dimensionless variables are needed to describe this system. This is because, in addition to the three traditional Pi theorem variables (Pressure/Rivera number, Reynolds number, Mach number), an additional variable may be required depending on the specific flow phenomenon being analyzed.",,,0,
Fluid,6,G-META-19-7,MCQS,82,"Terminal rise velocity of a spherical shaped solid in a liquid obeys the following functional relationship: U = f(d, W, µ, ρ), Where, U is the terminal rise velocity, d is the diameter of the solid, W is the apparent weight of the solid, µ is the viscosity of liquid and ρ is the density of liquid. According to Buckingham Π theorem, the number of independent dimensionless variables needed to describe the phenomenon is?  (A) 1 (B) 2 (C) 3 (D) 5 "," [C, 3]
Explanation: The given functional relationship suggests that U depends on four dimensional quantities: d (length), W (mass × gravity), µ (mass × length^(-1) × time^(-1)), and ρ (mass × volume^(-1)). According to Buckingham Π theorem, the number of independent dimensionless variables needed to describe a physical phenomenon is equal to the difference between the number of dimensions in the input quantities and the number of dimensions in the output quantity. In this case, the input quantities have three dimensions (length, mass, time), while the output quantity has one dimension (velocity). Therefore, the number of independent dimensionless variables needed is 3 - 1 = 2. However, since the functional relationship includes all possible relevant variables, the answer must be C) 3, as the theorem only tells us about the minimum number of required dimensionless variables.",,,0,
Fluid,7,G-META-19-44,NUM,67,"Assume Darcy’s law is applicable and g = 9.8 𝑚. $𝑠^(−2)$. Density of water = 1000 𝑘𝑔.$𝑚^(−3)$. Pressure drop in the granular zone of a blast furnace is 300 mm of water per meter of the bed height. The bed permeability is 0.8 $𝑚^(4).𝑁^(−1).𝑠^(−1)$ . The volumetric flow rate of gas per unit area through the bed [in $(𝑚^(3).𝑠^(−1)).𝑚^(−2)$ , rounded off to the nearest integer] is","
[The pressure drop can be calculated using Darcy's law as ΔP = μQ/KA, where μ is the dynamic viscosity of gas, Q is the volumetric flow rate, K is the permeability and A is the cross-sectional area. We need to find the volumetric flow rate first.

First, we can calculate the Darcy's velocity $v_d$ using the given pressure drop and bed height:

$v_d = \frac{\Delta P}{g\rho d} = \frac{300\times10^3\times9.81}{1000\times9.81\times d}$

Solving for $d$, we get:

$d = \sqrt{\frac{300\times10^3}{g\rho}} = 2.54\ m$

Now, we can calculate the cross-sectional area A of the bed using the given permeability and bed height:

$A = \frac{V_b}{\Delta h} = \frac{d^2}{K}$

Substituting the values, we get:

$A = \frac{(2.54)^2}{0.8\times10^{-4}\times9.81} = 3.67\ m^2$

Now, we can calculate the volumetric flow rate Q using Darcy's law:

$Q = \frac{A\Delta P}{\mu} = \frac{(3.67)(300\times10^3)}{(1.8\times10^{-5})}$

Solving for Q, we get:

$Q = 2.49\times10^6\ m^3/m^2.s$

To convert this to the given units of $(𝑚^(3).𝑠^(−1)).𝑚^(−2)$, we need to divide by the conversion factor:

$Q = \frac{2.49\times10^6}{(\frac{1}{1000})^3\times(\frac{1}{1000})^2} = 2.57\times10^{11}\ m^{-3}.s^{-1}$

Rounding off to the nearest integer, we get:

Answer: [2.57 × 10^11]
]
The answer is [2.6 × 10^11]. The conversion factor used in the calculation was not correct. It should have been (1/1000)^3 * (1/1000)^2 instead of (1/1000)^3 * (1/1000). Therefore, the final answer needs to be multiplied by 10^3 to get the correct units.",,,0,
Fluid,8,G-META-20-53,NUM,80,"Given: 1. Acceleration due to gravity is 9.8 $m.s^(-2)$. Cross-sectional area of gate is 0.2 $m^2$. In a top gated mold, liquid metal enters the mold cavity as freely falling stream under gravity from a height of 0.5m. Ignore the fluid friction due to viscosity and the drag due to changes in the direction of flow. If the volume of the mold cavity is 10 $m^3$, then the time(in seconds) required to fill the mold is?(roound off to nearest integer)"," ___________
Explanation: The volume of the liquid metal that enters the mold in one second can be calculated using the cross-sectional area and velocity of the stream. Since the acceleration due to gravity is constant, we can use the equation for the velocity of a freely falling object: $v = \sqrt{2gh}$ where g is the acceleration due to gravity, h is the height from which the liquid metal falls, and v is the final velocity. In this case, h = 0.5m and g = 9.8 $m.s^(-2)$. Solving for v, we get v = 3.13 $m.s^(-1)$. The volume of the liquid metal that enters the mold in one second can be calculated as: $Q = Av = (0.2 m^2)(3.13 m.s^(-1)) = 0.626 m^3.s^(-1)$ To find the time required to fill the mold, we divide the volume of the mold by the volume of liquid metal that enters the mold in one second: $t = \frac{V}{Q} = \frac{10 m^3}{0.626 m^3.s^(-1)} = 15.98 s$. Rounding off to the nearest integer, the answer is 16 seconds.
Answer: [16]",,,0,
Fluid,9,G-META-21-34,MCQS,78,"For a fully developed 1-D flow of Newtonian fluid through a horizontal pipe of radius R (see figure), the axial velocity ($v_z$) is given by: $v_z$ = [ΔP/L]*({$R^2$ - $r^2$}/4µ), where ΔP is the pressure difference (P1- P2), µ is the viscosity, r is the radial distance from the axis and L is the length of the tube. The shear stress exerted by the fluid on the tube wall is:  (A) ΔPR/(2L) (B) ΔPR/L (C) 3ΔPR/(2L) (D) 2ΔPR/L"," [B, ΔPR/L]
Explanation: The shear stress ($\tau$) is defined as the force per unit area acting parallel to the direction of flow. It can be calculated using the following formula: $\tau$ = µ*d(vz)/dr. Substituting the given expression for $v_z$, we get: $\tau$ = µ*(ΔP/L)*(R^2 - r^2)/4r. To find the shear stress at the wall ($r=R$), we set $r=R$: $\tau$ = µ*(ΔP/L)*(R^2 - R^2)/4*R = µ*(ΔP/L)*(0)/4*R = 0 - (1/4)*µ*(ΔP/L)*R^2. Since the shear stress is a positive quantity, we take its absolute value: $|\tau|$ = µ*(ΔP/L)*R^2/4. Comparing this expression with the given options, we find that the correct answer is [B, ΔPR/L].",,,0,
Fluid,10,G-META-22-18,MCQS,28,"In fluid flow, the dimensionless number that describes the transition from laminar to turbulent flow is  (A) Reynolds number (B) Schmidt number (C) Biot number (D) Prandtl number ", [A] Reynolds number,,,0,
Fluid,11,G-META-22-45,MCQS,145,"A non-rotating smooth solid spherical object is fixed in the stream of an inviscid incompressible fluid of density 𝜌 (see figure). The flow is horizontal, slow, steady, and fully developed far from the object as shown by the streamline arrows near point O. Which of the following statement(s) is(are) TRUE? (Note: B is the center of the sphere and the straight horizontal line OAB intersects the surface of the sphere at the point A.)   (A) The velocity of the fluid at the point A is zero (B) The fluid pressure at the point A exceeds that at point O by the amount 𝜌$v^2$/2 , where 𝒗 is the fluid velocity at point O (C) Fluid moving precisely along OA will turn perpendicular to OA to circumvent the object (D) On each side of the central streamline OA, the flow will be deflected round the object"," [D] On each side of the central streamline OA, the flow will be deflected round the object.",,,0,
Fluid,12,G-META-13-47,NUM,61,"[Given: density of steel = 7000 kg/$m^3$ , density of alumina = 3650 kg/$m^3$ , viscosity of steel = 6*$10^(-3)$ kg/m/s]. Ladle deoxidation of liquid steel is done at 1600°C by adding ferro-aluminium. By assuming Stokes law behaviour, time (in s) required for alumina particles of 50 µm diameter to float to the surface from a depth of 2m would be?"," [The time can be calculated using Stokes Law which relates terminal velocity of a particle to its size and density. The equation is given by v = (2*g*r^2)/9*η, where g is acceleration due to gravity, r is radius of the particle and η is viscosity. First we need to find the terminal velocity of alumina particles using Stokes Law.
Terminal Velocity of Alumina Particles = (2*g*r^2)/(9*η) = (2*(9.81 m/s^2)*(0.00005m)^2)/(9*(6*$10^-3 kg/ms)) = 0.0047 m/s
Using this terminal velocity, we can calculate the time taken for the particle to rise from a depth of 2m using the equation t = h/(v + w), where h is height and w is the upward acceleration due to buoyancy force. The upward acceleration due to buoyancy force is given by w = (Δρ*g)/ρ, where Δρ is difference in density between steel and alumina.
Difference in Density = 7000 kg/$m^3$ - 3650 kg/$m^3$ = 3350 kg/$m^3$
Upward Acceleration due to Buoyancy Force = (Δρ*g)/ρ = (3350 kg/$m^3$*(9.81 m/s^2))/(7000 kg/$m^3$) = 0.0481 m/s
Time taken = h/(v + w) = 2m/(0.0047 m/s + 0.0481 m/s) = 156.9 seconds]
Therefore, the time required for alumina particles of 50 µm diameter to float to the surface from a depth of 2m in liquid steel during ladle deoxidation is approximately 156.9 seconds.",,,0,
