qids;qstr;correct_result;filtered_result;overlap;topic
G-META-20-54;NUM;0.06 TO 0.08;;0;Mechanical Properties
G-META-21-15;NUM;48;48;1;Thermodynamics
G-XEC-2014-17;MCQS-NUM;D;B;0;Thermodynamics
G-META-22-13;MCQS;C;A;0;Material Manufacturing
G-META-22-14;MCQS;C;B;0;Material Processing
G-META-22-15;MCQS;A;D;0;Atomic Structure
G-META-22-16;MCQS;C;C;1;Material Testing
G-META-22-17;MCQS;D;B;0;Material Processing
G-META-22-18;MCQS;A;A;1;Fluid Mechanics
G-META-22-19;MCQS;B;D;0;Material Manufacturing
G-META-22-20;MATCH;D;C;0;Atomic Structure
G-META-22-24;MCQS;A;C;0;Material Manufacturing
G-META-22-26;MCQS;C;A;0;Mechanical Properties
G-META-22-27;MATCH;D;A;0;Material Processing
G-META-22-28;MCQS;B;B;1;Phase Transition
G-META-22-30;MCQS;A,B,C;C;0;Material Manufacturing
G-META-22-31;MCQS;B,C;B,D;0;Phase Transition
G-META-22-33;MCQS;B,D;B;0;Atomic Structure
G-META-22-38;MATCH;A;B;0;Material Manufacturing
G-META-22-39;MCQS;B;A;0;Magnetic Properties
G-META-22-40;MATCH;B;A;0;Atomic Structure
G-META-22-41;MCQS;C;B;0;Atomic Structure
G-XEC-2014-3;MCQS;C;C;1;Thermodynamics
G-META-22-45;MCQS;A,B,D;D;0;Fluid Mechanics
G-XEC-2012-16;MCQS-NUM;C;B;0;Magnetic Properties
G-XEC-2012-18;MCQS-NUM;B;;0;Phase Transition
G-META-21-16;NUM;-48251 TO -48240;56952;0;Atomic Structure
G-META-21-17;NUM;-2962 TO -2958;211;0;Atomic Structure
G-META-21-19;NUM;20;140;0;Mechanical Properties
G-META-21-20;NUM;1.7 TO 2.3;1,6;0;Mechanical Properties
G-META-21-21;NUM;34.8 TO 36.1;60;0;Mechanical Properties
G-META-21-22;NUM;0.22 TO 0.30;0,37;0;Transport Phenomena
G-XEC-2014-6;MCQS;D;D;1;Thermodynamics
G-META-21-23;NUM;840000;420000;0;Electrical Properties
G-XEC-2016-4;MCQS;C;A;0;Atomic Structure
G-META-21-25;NUM;6.85 TO 7.00;113,13;0;Mechanical Properties
G-META-21-40;NUM;25;25;1;Electrical Properties
G-META-21-41;NUM;58 TO 62;104;0;Transport Phenomena
G-XEC-2015-44-1;MCQS;C;A;0;Thermodynamics
G-XEC-2017-8;MCQS-NUM;B;C;0;Atomic Structure
G-META-21-42;NUM;0.90 TO 0.94 OR -0.94 TO -0.90;0,47;0;Transport Phenomena
G-META-21-43;NUM;-24.00 TO -23.50;0,095;0;Atomic Structure
G-META-21-44;NUM;2230 TO 2270;2180;0;Mechanical Properties
G-XEC-2017-19;MCQS;D;B;0;Atomic Structure
G-XEC-2015-45-2;MCQS;A;A;1;Thermodynamics
G-XEC-2015-47-4;MCQS;D;B;0;Thermodynamics
G-META-21-47;NUM;40;250;0;Atomic Structure
G-META-21-48;NUM;0.6 TO 0.6;0,6;1;Atomic Structure
G-META-21-49;NUM;98 TO 102;2;0;Transport Phenomena
G-META-21-52;NUM;-0.60 TO -0.50;23,15;0;Mechanical Properties
G-XEC-2015-48-5;MCQS;B;B;1;Thermodynamics
G-META-21-53;NUM;0.017 TO 0.023;0,114;0;Thermodynamics
G-META-21-54;NUM;4;4;1;Mechanical Properties
G-XEC-2020-12;MCQS-NUM;D;B;0;Atomic Structure
G-META-22-46;NUM;0.069 TO 0.075;0,576;0;Thermodynamics
G-META-22-47;NUM;4.3 TO 4.3;2,8;0;Atomic Structure
G-META-22-48;NUM;2.7 TO 2.76;0,03;0;Thermodynamics
G-META-22-49;NUM;-233.5 TO -232.5;-431,9;0;Magnetic Properties
G-META-22-50;NUM;2.86 TO 2.93;8,19;0;Thermodynamics
G-META-22-51;NUM;400 TO 400;824;0;Transport Phenomena
G-META-22-53;NUM;0.121 TO 0.125;0,113;0;Magnetic Properties
G-META-22-55;NUM;25.1 TO 25.9;0;0;Atomic Structure
G-META-22-56;NUM;15 TO 15;15;0;Phase Transition
G-META-22-57;NUM;1.059 TO 1.071;1,667;0;Phase Transition
G-META-22-58;NUM;197 TO 201;0;0;Mechanical Properties
G-META-22-59;NUM;220 TO 220;487;0;Electrical Properties
G-META-22-60;NUM;200 TO 210;42;0;Thermodynamics
G-META-22-62;NUM;16.55 TO 18.55;8,16;0;Transport Phenomena
G-XEC-2022-4;MCQS;A;B;0;Electrical Properties
G-XEC-2022-7;MCQS;B,C;A;0;Mechanical Properties
G-META-22-65;NUM;59 TO 61;90;0;Atomic Structure
G-XEC-2016-21;MCQS;C;D;0;Thermodynamics
G-XEC-2013-13;NUM;0.178 to 0.18;0,289;0;Transport Phenomena
G-XEC-2016-3;MCQS;D;B;0;Thermodynamics
G-XEC-2016-5;MCQS;C;C;1;Thermodynamics
G-META-12-22;MCQS;D;B;0;Material Processing
G-META-12-38;MCQS;A;B;0;Material Manufacturing
G-META-12-48;MCQS-NUM;A;B;0;Mechanical Properties
G-META-12-54;MCQS-NUM;B;C;0;Mechanical Properties
G-XEC-2013-14;NUM;0.04 to 0.045;0,023;0;Thermodynamics
G-XEC-2013-15;NUM;0.85 to 0.89 ;0,8638;1;Thermodynamics
G-META-13-13;MCQS;A;B;0;Phase Transition
G-META-13-15;MCQS;C;A;0;Material Manufacturing
G-META-13-19;MCQS;A;C;0;Material Manufacturing
G-XEC-2013-21;NUM;Marks to all ;57,3;1;Mechanical Properties
G-META-13-34;MCQS-NUM;D;B;0;Mechanical Properties
G-META-13-36;MCQS-NUM;A;C;0;Mechanical Properties
G-XEC-2013-22;NUM;Marks to all ;5;1;Mechanical Properties
G-XEC-2014-10;NUM;5555 to 5556;5547;0;Fluid Mechanics
G-META-14-1;MCQS;C;D;0;Material Manufacturing
G-META-14-31;MCQS;D;B;0;Atomic Structure
G-XEC-2014-11;NUM;91 to 92;42,75;0;Electrical Properties
G-META-14-44;MCQS;A;C;0;Mechanical Properties
G-XEC-2014-12;NUM;48 to 49;18,5;0;Mechanical Properties
G-XEC-2014-14;NUM;0.29 to 0.31;0,433;0;Thermodynamics
G-XEC-2014-18;NUM;0.47 to 0.49;0,481;1;Thermodynamics
G-XEC-2014-21;NUM;40 to 41;15,33;0;Electrical Properties
G-XEC-2018-4;MCQS;C;D;0;Thermodynamics
G-XEC-2014-22;NUM;115 to 120;69,3;0;Thermodynamics
G-META-16-8;MCQS;C;A;0;Material Manufacturing
G-XEC-2015-55-12;NUM;151 to 152;1509,09;0;Atomic Structure
G-XEC-2015-56-13;NUM;4.8 to 4.9;5,5;0;Mechanical Properties
G-XEC-2015-57-14;NUM;1.5 to 1.55;1,53;1;Thermodynamics
G-XEC-2015-58-15;NUM;0.470 to 0.475;0,047;0;Thermodynamics
G-XEC-2015-59-16;NUM;2 to 2.3;-1,67;0;Mechanical Properties
G-XEC-2015-63-20;NUM;588 to 592;497,7;0;Mechanical Properties
G-XEC-2015-64-21;NUM;8675 to 8680;8960;0;Material Manufacturing
G-META-16-53;MCQS-NUM;D;C;0;Material Manufacturing
G-XEC-2015-65-22;NUM;1399 to 1401;1400;1;Mechanical Properties
G-XEC-2016-11;NUM;15.35 : 15.45;15,63;0;Mechanical Properties
G-XEC-2016-12;NUM;210 : 210;214;0;Atomic Structure
G-XEC-2016-13;NUM;6850 : 6950;3441,67;0;Mechanical Properties
G-XEC-2016-14;NUM;6.00 : 7.30;6,885;1;Thermodynamics
G-XEC-2016-14;NUM;6.00 : 7.30;6,885;1;Material Manufacturing
G-XEC-2016-16;NUM;16666 : 16668;8,3;0;Electrical Properties
G-XEC-2016-17;NUM;11.30 : 11.40;0,0181;0;Mechanical Properties
G-XEC-2016-19;NUM;42 TO 43;10,52;0;Material Manufacturing
G-XEC-2016-22;NUM;35 TO 36;35,26;1;Material Manufacturing
G-XEC-2016-6;NUM;81;;0;Mechanical Properties
G-META-18-28;MCQS;D;A;0;Atomic Structure
G-META-18-36;MATCH;C OR D;A;0;Material Manufacturing
G-XEC-2016-8;NUM;4;3;0;Phase Transition
G-XEC-2019-7;MCQS;C;A,C;0;Thermodynamics
G-XEC-2017-10;NUM;0.99 to 1.010;2,59;0;Fluid Mechanics
G-XEC-2017-11;NUM;53 to 53.2;53,1;1;Mechanical Properties
G-XEC-2019-9;MCQS-NUM;B;B;1;Thermodynamics
G-XEC-2020-13;MCQS-NUM;D;A;0;Thermodynamics
G-XEC-2017-14;NUM;7.5 to 7.7;4,74;0;Thermodynamics
G-XEC-2017-17;NUM;7.5 to 7.80;1.88 * 10-16;0;Mechanical Properties
G-XEC-2017-18;NUM;172 TO 174;104;0;Mechanical Properties
G-META-19-32;MCQS;A;C;0;Mechanical Properties
G-XEC-2017-20;NUM;1.35 to 1.37;8,49;0;Thermodynamics
G-XEC-2018-13;NUM;430 to 500;56;0;Material Manufacturing
G-XEC-2018-15;NUM;2.60 to 2.70;2,67;1;Material Manufacturing
G-XEC-2018-16;NUM;59.00 to 60.00;277;0;Thermodynamics
G-XEC-2018-17;NUM;1.85 to 2.00;6.05 X 10^-6 MM;0;Material Manufacturing
G-XEC-2018-18;NUM;132 to 132;10,7;0;Mechanical Properties
G-META-20-7;MCQS;MARKS TO ALL;C;1;Material Manufacturing
G-XEC-2018-20;NUM;5 to 5;9;0;Mechanical Properties
G-XEC-2018-21;NUM;15.5 to 18.5;3,17;0;Atomic Structure
G-META-20-28;MCQS-NUM;C;B;0;Electrical Properties
G-META-20-34;MCQS-NUM;C;D;0;Atomic Structure
G-XEC-2018-22;NUM;1420 to 1480;1414;0;Atomic Structure
G-XEC-2019-14;NUM;45 to 52;14;0;Electrical Properties
G-XEC-2019-15;NUM;0.28 to 0.32;0,29;1;Miscellaneous
G-XEC-2019-16;NUM;360 to 364;544;0;Phase Transition
G-XEC-2019-18;NUM;9.2 to 9.6;2,1;0;Material Manufacturing
G-XEC-2019-19;NUM;2.10 to 2.35;5,2;0;Electrical Properties
G-XEC-2019-20;NUM;666 to 670;15610;0;Mechanical Properties
G-XEC-2019-21;NUM;560 to 565;;0;Mechanical Properties
G-XEC-2019-22;NUM;11.0 to 12.5;3,7;0;Material Manufacturing
G-META-21-9;MCQS;D;A;0;Material Manufacturing
G-XEC-2020-14;NUM;69 to 69;70;0;Electrical Properties
G-XEC-2020-15;NUM;0.84 to 0.90;0,95;0;Phase Transition
G-XEC-2020-16;NUM;0.33 to 0.45;0,13;0;Magnetic Properties
G-XEC-2020-18;NUM;4 to 4;-2,2;0;Atomic Structure
G-XEC-2020-21;NUM;2.20 to 2.28;2,24;1;Phase Transition
G-XEC-2020-22;NUM;77 to 83;178;0;Atomic Structure
G-META-21-31;MCQS;B;D;0;Mechanical Properties
G-XEC-2020-8;NUM;157 to 159;26;0;Material Manufacturing
G-XEC-2020-9;NUM;1.9 to 2.1;2;1;Material Manufacturing
G-XEC-2021-14;NUM;5.85 to 6.00;7,86;0;Thermodynamics
G-XEC-2021-15;NUM;9600 to 9800 ;0;0;Thermodynamics
G-XEC-2021-16;NUM;38 to 42;3;0;Mechanical Properties
G-XEC-2021-17;NUM;3.4 to 4.8;39,3;0;Mechanical Properties
G-XEC-2021-18;NUM;71 to 77;160;0;Electrical Properties
G-XEC-2021-19;NUM;210 to 220;0;0;Atomic Structure
G-META-22-25;MCQS;A;C;0;Material Manufacturing
G-META-22-29;MATCH;B;A;0;Mechanical Properties
G-META-22-32;MCQS;B,C;C;0;Atomic Structure
G-META-22-44;MCQS;A,C,D;A,B,C,D;0;Material Processing
G-XEC-2021-20;NUM;0.60 to 0.62;1,75;0;Mechanical Properties
G-XEC-2021-7;MCQS;B;B;1;Thermodynamics
G-XEC-2021-8;MCQS;"B; D";B;0;Thermodynamics
G-XEC-2021-21;NUM;2.10 to 2.14;2,27;0;Electrical Properties
G-XEC-2021-22;NUM;0.1 to 0.1;1.6x10-9;0;Atomic Structure
G-XEC-2021-9;NUM;0.056 TO 0.063;0,0008;0;Material Manufacturing
G-XEC-2022-11;MCQS;C;D;0;Thermodynamics
G-XEC-2022-15;MCQS;A;C;0;Thermodynamics
G-XEC-2022-17;NUM;0.5 to 0.5;0,609;0;Transport Phenomena
G-XEC-2022-18;NUM;9.7 to 11.2;153,8;0;Thermodynamics
G-XEC-2022-20;NUM;0.45 to 0.47;1,18;0;Material Applications
G-XEC-2022-21;NUM;1.40 to 1.43;0,35;0;Material Processing
G-XEC-2022-22;NUM;5.64 to 5.73;3,55;0;Mechanical Properties
G-XEC-2022-8;NUM;4232 to 4249;36400000;0;Thermodynamics
G-XEC-2022-9;NUM;2.20 to 2.30;2,27;1;Material Applications
