qids;qstr;correct_result;filtered_result;overlap;topic
G-XEC-2013-14;NUM;0.04 to 0.045;0,0247;0;Material Manufacturing
G-XEC-2013-15;NUM;0.85 to 0.89 ;0,542;0;Material Processing
G-XEC-2013-2;MCQS;D;D;1;Mechanical Properties
G-XEC-2013-21;NUM;Marks to all ;57,29;1;Thermodynamics
G-XEC-2013-22;NUM;Marks to all ;2,5;1;Thermodynamics
G-XEC-2013-3;MCQS;C;B;0;Material Manufacturing
G-XEC-2013-4;MCQS;B;B;1;Material Processing
G-XEC-2013-5;MCQS;D;D;1;Atomic Structure
G-XEC-2013-6;MCQS;B;B;1;Material Testing
G-XEC-2013-7;MCQS;B;B;1;Material Processing
G-XEC-2013-8;MCQS;A;A;1;Fluid Mechanics
G-XEC-2013-9;MCQS;A;A;1;Material Manufacturing
G-XEC-2014-1;MCQS;C;C;1;Atomic Structure
G-XEC-2014-10;NUM;5555 to 5556;5547;0;Material Manufacturing
G-XEC-2014-11;NUM;91 to 92;47,52;0;Mechanical Properties
G-XEC-2014-12;NUM;48 to 49;13,35;0;Material Processing
G-XEC-2014-13;MATCH;B;B;1;Phase Transition
G-XEC-2014-14;NUM;0.29 to 0.31;0,3;1;Material Manufacturing
G-XEC-2014-15;MATCH;C;C;1;Phase Transition
G-XEC-2014-16;MCQS;A;A;1;Atomic Structure
G-XEC-2014-17;MCQS-NUM;D;D;1;Material Manufacturing
G-XEC-2014-18;NUM;0.47 to 0.49;0,482;1;Magnetic Properties
G-XEC-2014-19;MATCH;D;D;1;Atomic Structure
G-XEC-2014-2;MCQS;A;A;1;Atomic Structure
G-XEC-2014-21;NUM;40 to 41;40,64;1;Thermodynamics
G-XEC-2014-22;NUM;115 to 120;312,8;0;Fluid Mechanics
G-XEC-2014-3;MCQS;C;C;1;Magnetic Properties
G-XEC-2014-4;MCQS;D;A;0;Phase Transition
G-XEC-2014-5;MCQS;C;C;1;Atomic Structure
G-XEC-2014-6;MCQS;D;D;1;Atomic Structure
G-XEC-2014-7;MCQS;B;B;1;Mechanical Properties
G-XEC-2014-8;MCQS;A;A;1;Mechanical Properties
G-XEC-2014-9;MCQS;B;C;0;Mechanical Properties
G-XEC-2015-44-1;MCQS;C;C;1;Transport Phenomena
G-XEC-2015-45-2;MCQS;A;A;1;Thermodynamics
G-XEC-2015-46-3;MCQS;B;B;1;Electrical Properties
G-XEC-2015-47-4;MCQS;D;C;0;Atomic Structure
G-XEC-2015-48-5;MCQS;B;B;1;Mechanical Properties
G-XEC-2015-49-6;MCQS;C;C;1;Electrical Properties
G-XEC-2015-50-7;MCQS;D;D;1;Transport Phenomena
G-XEC-2015-51-8;MCQS;B;B;1;Thermodynamics
G-XEC-2015-52-9;MCQS;B;B;1;Atomic Structure
G-XEC-2015-53-10;MATCH;C;C;1;Transport Phenomena
G-XEC-2015-55-12;NUM;151 to 152;151,51;1;Atomic Structure
G-XEC-2015-56-13;NUM;4.8 to 4.9;2,9;0;Mechanical Properties
G-XEC-2015-57-14;NUM;1.5 to 1.55;1,53;1;Atomic Structure
G-XEC-2015-58-15;NUM;0.470 to 0.475;4,7216;0;Thermodynamics
G-XEC-2015-59-16;NUM;2 to 2.3;2,17;1;Thermodynamics
G-XEC-2015-60-17;MATCH;B;B;1;Atomic Structure
G-XEC-2015-61-18;MCQS;D;D;1;Atomic Structure
G-XEC-2015-62-19;MCQS-NUM;B;C;0;Transport Phenomena
G-XEC-2015-63-20;NUM;588 to 592;531,27;0;Mechanical Properties
G-XEC-2015-64-21;NUM;8675 to 8680;8669;0;Thermodynamics
G-XEC-2015-65-22;NUM;1399 to 1401;1400;1;Thermodynamics
G-XEC-2016-1;MCQS;C;C;1;Mechanical Properties
G-XEC-2016-10;MATCH;B;B;1;Atomic Structure
G-XEC-2016-11;NUM;15.35 : 15.45;15,44;1;Thermodynamics
G-XEC-2016-12;NUM;210 : 210;150;0;Atomic Structure
G-XEC-2016-13;NUM;6850 : 6950;6882;1;Thermodynamics
G-XEC-2016-14;NUM;6.00 : 7.30;11,9;0;Magnetic Properties
G-XEC-2016-14;NUM;6.00 : 7.30;11,9;0;Thermodynamics
G-XEC-2016-15;MATCH;A;A;1;Transport Phenomena
G-XEC-2016-16;NUM;16666 : 16668;4166,67;0;Magnetic Properties
G-XEC-2016-17;NUM;11.30 : 11.40;1,135;0;Atomic Structure
G-XEC-2016-19;NUM;42 TO 43;42,52;1;Phase Transition
G-XEC-2016-2;MCQS;C;C;1;Phase Transition
G-XEC-2016-20;MATCH;A;A;1;Mechanical Properties
G-XEC-2016-21;MCQS;C;C;1;Electrical Properties
G-XEC-2016-22;NUM;35 TO 36;54,73;0;Thermodynamics
G-XEC-2016-3;MCQS;D;D;1;Transport Phenomena
G-XEC-2016-4;MCQS;C;A;0;Electrical Properties
G-XEC-2016-5;MCQS;C;D;0;Mechanical Properties
G-XEC-2016-6;NUM;81;;0;Atomic Structure
G-XEC-2016-7;MCQS;B;B;1;Thermodynamics
G-XEC-2016-8;NUM;4;3;0;Transport Phenomena
G-XEC-2016-9;MCQS;B;B;1;Thermodynamics
G-XEC-2017-1;MCQS;B;B;1;Thermodynamics
G-XEC-2017-10;NUM;0.99 to 1.010;0,998;1;Material Processing
G-XEC-2017-11;NUM;53 to 53.2;53,1;1;Material Manufacturing
G-XEC-2017-12;MATCH;A;A;1;Mechanical Properties
G-XEC-2017-13;MATCH;A;A;1;Mechanical Properties
G-XEC-2017-14;NUM;7.5 to 7.7;2,177;0;Thermodynamics
G-XEC-2017-16;MCQS;B;D;0;Thermodynamics
G-XEC-2017-17;NUM;7.5 to 7.80;1,9719;0;Phase Transition
G-XEC-2017-18;NUM;172 TO 174;100;0;Material Manufacturing
G-XEC-2017-19;MCQS;D;B;0;Material Manufacturing
G-XEC-2017-2;MCQS;D;D;1;Mechanical Properties
G-XEC-2017-20;NUM;1.35 to 1.37;1,36;1;Mechanical Properties
G-XEC-2017-21;MCQS-NUM;C;B;0;Mechanical Properties
G-XEC-2017-22;MCQS;A;A;1;Mechanical Properties
G-XEC-2017-3;MCQS;C;C;1;Fluid Mechanics
G-XEC-2017-4;MCQS;B;B;1;Material Manufacturing
G-XEC-2017-5;MCQS;A;A,B,C;0;Atomic Structure
G-XEC-2017-6;MCQS;C;C;1;Electrical Properties
G-XEC-2017-7;MCQS;D;B;0;Mechanical Properties
G-XEC-2017-8;MCQS-NUM;B;D;0;Mechanical Properties
G-XEC-2017-9;MCQS;D;D;1;Thermodynamics
G-XEC-2018-1;MCQS;C;C;1;Thermodynamics
G-XEC-2018-10;MATCH;B;B;1;Electrical Properties
G-XEC-2018-11;MCQS-NUM;A;A;1;Thermodynamics
G-XEC-2018-12;MCQS-NUM;B;A;0;Thermodynamics
G-XEC-2018-13;NUM;430 to 500;1000;0;Material Manufacturing
G-XEC-2018-15;NUM;2.60 to 2.70;2,67;1;Atomic Structure
G-XEC-2018-16;NUM;59.00 to 60.00;119;0;Mechanical Properties
G-XEC-2018-17;NUM;1.85 to 2.00;15,3;0;Thermodynamics
G-XEC-2018-18;NUM;132 to 132;132;1;Thermodynamics
G-XEC-2018-2;MCQS;A;B;0;Mechanical Properties
G-XEC-2018-20;NUM;5 to 5;2;0;Mechanical Properties
G-XEC-2018-21;NUM;15.5 to 18.5;4,03;0;Material Manufacturing
G-XEC-2018-22;NUM;1420 to 1480;1370;0;Material Manufacturing
G-XEC-2018-3;MCQS;B;B;1;Mechanical Properties
G-XEC-2018-4;MCQS;C;C;1;Mechanical Properties
G-XEC-2018-5;MCQS;A;A;1;Atomic Structure
G-XEC-2018-6;MCQS-NUM;D;D;1;Mechanical Properties
G-XEC-2019-1;MCQS;B;B;1;Thermodynamics
G-XEC-2019-10;MCQS;B;B;1;Material Manufacturing
G-XEC-2019-11;MATCH;B;B;1;Electrical Properties
G-XEC-2019-12;MCQS;B;C;0;Mechanical Properties
G-XEC-2019-14;NUM;45 to 52;0;0;Material Manufacturing
G-XEC-2019-15;NUM;0.28 to 0.32;1,04;0;Material Manufacturing
G-XEC-2019-16;NUM;360 to 364;407;0;Mechanical Properties
G-XEC-2019-18;NUM;9.2 to 9.6;390,4;0;Atomic Structure
G-XEC-2019-19;NUM;2.10 to 2.35;16,94;0;Material Manufacturing
G-XEC-2019-20;NUM;666 to 670;1187;0;Phase Transition
G-XEC-2019-21;NUM;560 to 565;0;0;Thermodynamics
G-XEC-2019-22;NUM;11.0 to 12.5;11,7;1;Fluid Mechanics
G-XEC-2019-3;MCQS;A;C;0;Mechanical Properties
G-XEC-2019-4;MCQS;A;A;1;Thermodynamics
G-XEC-2019-5;MCQS-NUM;B;;0;Thermodynamics
G-XEC-2019-6;MCQS-NUM;B;B;1;Thermodynamics
G-XEC-2019-7;MCQS;C;C;1;Mechanical Properties
G-XEC-2019-8;MCQS;D;D;1;Mechanical Properties
G-XEC-2019-9;MCQS-NUM;B;B;1;Mechanical Properties
G-XEC-2020-1;MCQS-NUM;C;C;1;Thermodynamics
G-XEC-2020-10;MCQS;B;B;1;Material Manufacturing
G-XEC-2020-11;MATCH;C;C;1;Material Manufacturing
G-XEC-2020-12;MCQS-NUM;D;;0;Thermodynamics
G-XEC-2020-13;MCQS-NUM;D;A;0;Material Manufacturing
G-XEC-2020-14;NUM;69 to 69;70;0;Mechanical Properties
G-XEC-2020-15;NUM;0.84 to 0.90;0,75;0;Material Manufacturing
G-XEC-2020-16;NUM;0.33 to 0.45;0,28;0;Mechanical Properties
G-XEC-2020-18;NUM;4 to 4;3,3;0;Atomic Structure
G-XEC-2020-2;MCQS;B;B;1;Electrical Properties
G-XEC-2020-21;NUM;2.20 to 2.28;2,24;1;Atomic Structure
G-XEC-2020-22;NUM;77 to 83;;0;Atomic Structure
G-XEC-2020-4;MCQS;A;A;1;Electrical Properties
G-XEC-2020-8;NUM;157 to 159;26;0;Miscellaneous
G-XEC-2020-9;NUM;1.9 to 2.1;2;1;Phase Transition
G-XEC-2021-1;MCQS;C;C;1;Material Manufacturing
G-XEC-2021-10;MATCH;B;B;1;Electrical Properties
G-XEC-2021-11;MATCH;C;C;1;Mechanical Properties
G-XEC-2021-13;MCQS;"A; B";A,B;1;Mechanical Properties
G-XEC-2021-14;NUM;5.85 to 6.00;5,21;0;Material Manufacturing
G-XEC-2021-15;NUM;9600 to 9800 ;1;0;Material Manufacturing
G-XEC-2021-16;NUM;38 to 42;40;1;Electrical Properties
G-XEC-2021-17;NUM;3.4 to 4.8;5,3;0;Phase Transition
G-XEC-2021-18;NUM;71 to 77;649;0;Magnetic Properties
G-XEC-2021-19;NUM;210 to 220;2.16*10^11;0;Atomic Structure
G-XEC-2021-2;MCQS;C;C;1;Phase Transition
G-XEC-2021-20;NUM;0.60 to 0.62;1,18;0;Atomic Structure
G-XEC-2021-21;NUM;2.10 to 2.14;2,12;1;Mechanical Properties
G-XEC-2021-22;NUM;0.1 to 0.1;1,10E-05;0;Material Manufacturing
G-XEC-2021-3;MCQS;D;A;0;Material Manufacturing
G-XEC-2021-4;MCQS;C;C;1;Thermodynamics
G-XEC-2021-5;MATCH;C;C;1;Thermodynamics
G-XEC-2021-6;MCQS;B;B;1;Mechanical Properties
G-XEC-2021-7;MCQS;B;B;1;Mechanical Properties
G-XEC-2021-8;MCQS;"B; D";C;0;Electrical Properties
G-XEC-2021-9;NUM;0.056 TO 0.063;60,48;0;Atomic Structure
G-XEC-2022-1;MCQS;B;NONE;0;Material Manufacturing
G-XEC-2022-10;MCQS;C;B;0;Mechanical Properties
G-XEC-2022-11;MCQS;C;C;1;Atomic Structure
G-XEC-2022-14;MCQS;C;C;1;Material Processing
G-XEC-2022-15;MCQS;A;C;0;Mechanical Properties
G-XEC-2022-16;MCQS;A,C;A,C;1;Thermodynamics
G-XEC-2022-17;NUM;0.5 to 0.5;0,5;1;Thermodynamics
G-XEC-2022-18;NUM;9.7 to 11.2;270,2;0;Electrical Properties
G-XEC-2022-2;MATCH;C;C;1;Atomic Structure
G-XEC-2022-20;NUM;0.45 to 0.47;0,72;0;Material Manufacturing
G-XEC-2022-21;NUM;1.40 to 1.43;0,79;0;Thermodynamics
G-XEC-2022-22;NUM;5.64 to 5.73;3,98;0;Thermodynamics
G-XEC-2022-3;MCQS;C;C;1;Transport Phenomena
G-XEC-2022-4;MCQS;A;B;0;Thermodynamics
G-XEC-2022-5;MCQS;C;C;1;Material Applications
G-XEC-2022-6;MCQS;D;D;1;Material Processing
G-XEC-2022-7;MCQS;B,C;C;0;Mechanical Properties
G-XEC-2022-8;NUM;4232 to 4249;6.02*10^23;0;Thermodynamics
G-XEC-2022-9;NUM;2.20 to 2.30;2,23;1;Material Applications
